pl_name,hostname,pl_orbper,pl_rade,pl_bmassj,pl_eqt,pl_insol,st_rad,st_teff,st_lum,sy_dist,pl_dens
WASP-164 b,WASP-164,1.7771255,12.643752,2.13,1610.0,,0.932,5806.0,,327.506,1.96
K2-24 c,K2-24,42.3391,7.5,0.04845358,,,1.16,5625.0,,170.562,0.2
Kepler-1576 b,Kepler-1576,6.98471973,1.04,,,,1.06,5876.0,,460.91,
Kepler-55 e,Kepler-55,4.617534,1.55,,,,0.619,4503.0,,578.796,
Kepler-1748 b,Kepler-1748,5.823445,3.3,,923.0,,0.91,5542.0,,1083.28,
Kepler-745 b,Kepler-745,9.93143556,1.92,,824.0,109.11,0.917,5880.0,,1780.38,
Kepler-32 d,Kepler-32,22.78076945,2.5,,,,0.54,3903.0,,323.847,
K2-331 c,K2-331,22.99592,2.5,,,,1.043,6010.0,,211.43,
Kepler-149 c,Kepler-149,55.3285813,1.66,,429.0,7.99,0.832,5529.0,,571.034,
K2-203 b,K2-203,9.6897,1.37,,,,0.776,,,166.147,
WASP-160 B b,WASP-160 B,3.7684952,12.21781,0.278,1119.0,,0.868,5298.0,,288.326,0.284
Kepler-60 d,Kepler-60,11.8984932,1.76,,1013.0,249.12,1.448,6200.0,,1025.1,
Kepler-248 c,Kepler-248,16.23947096,4.14,,598.0,30.14,0.837,5191.0,,738.792,
Kepler-1438 b,Kepler-1438,2.319426,0.88,,1230.0,,0.84,5529.0,,1154.13,
Kepler-105 c,Kepler-105,7.125967,1.91,,1182.0,,1.35,6398.0,,459.223,
Kepler-716 c,Kepler-716,3.96996298,1.78,,992.0,229.37,0.888,5121.0,,635.009,
Kepler-259 c,Kepler-259,36.9249531,2.71,,530.0,18.7,0.887,5926.0,,1002.14,
K2-19 b,K2-19,7.9177855286,6.59307857,,782.72,88.7066,0.840476,5322.0,,289.827,
Kepler-415 b,Kepler-415,4.17634525,1.61,,758.0,77.85,0.643,4523.0,,530.487,
Kepler-1470 b,Kepler-1470,16.2951259,1.15,,574.0,25.59,0.812,4915.0,,590.601,
Kepler-31 d,Kepler-31,87.6451,3.9,6.8,,,1.22,6340.0,,1664.64,
Kepler-109 c,Kepler-109,21.22265,2.65,0.02580009,859.0,91.0,1.387,5950.0,,474.861,2.4
WASP-47 d,WASP-47,9.03055,3.567,0.0446782,,,1.137,5552.0,,264.78,1.72
Kepler-1825 b,Kepler-1825,1.025857703,1.35,,1468.0,1098.5,0.791,5035.0,,430.254,
Kepler-431 c,Kepler-431,8.70312154,0.72,,945.0,188.7,1.082,6006.0,,486.546,
Kepler-534 c,Kepler-534,7.37862283,1.06,,932.0,178.68,0.965,5936.0,,570.659,
Kepler-147 b,Kepler-147,12.6119685,1.33,,953.0,194.9,1.42,6007.0,,1042.02,
Kepler-562 b,Kepler-562,18.009314436,5.12,,658.0,44.29,0.877,5815.0,,992.769,
Kepler-607 c,Kepler-607,39.67679977,2.76001201,,,,0.888,5244.0,,519.122,
Kepler-351 b,Kepler-351,37.0548569,2.74,,497.0,14.42,0.841,5646.0,,1083.91,
Kepler-1284 b,Kepler-1284,0.664073806,1.21,,,,0.79,5123.0,,882.324,
Kepler-1728 b,Kepler-1728,4.783002698,2.5,,886.0,145.48,0.807,5170.0,,651.783,
Kepler-877 b,Kepler-877,18.45847097,2.3,,615.0,33.86,0.865,5413.0,,602.176,
K2-389 b,K2-389,8.583566,2.118,,,,1.084,5782.0,,259.208,
EPIC 220674823 b,EPIC 220674823,0.571282,1.87,0.02526521,2115.0,4740.0,0.995,5496.0,,244.59,7.3
Kepler-58 b,Kepler-58,10.21866016,3.1,,920.0,169.13,1.083,6100.0,,969.252,
