pl_name,hostname,pl_orbper,pl_rade,pl_bmassj,pl_eqt,pl_insol,st_rad,st_teff,st_lum,sy_dist,pl_dens
Kepler-1427 b,Kepler-1427,0.968980781,1.08,,1844.0,2730.51,1.0,5866.0,,,
Kepler-165 c,Kepler-165,15.31307,2.49,,613.0,,0.79,5236.0,,560.885,
Kepler-682 b,Kepler-682,12.611904,7.1,,739.0,,0.88,5760.0,,1979.25,
K2-9 b,K2-9,18.44951,3.09,,,,0.468,,,82.9631,
K2-180 b,K2-180,8.867209,2.31,,731.0,,0.72,5358.0,,203.896,
Kepler-942 b,Kepler-942,44.96407458,2.0,,379.0,4.89,0.729,4827.0,,216.354,
Kepler-1443 b,Kepler-1443,2.41811321,0.79,,1572.0,1443.27,1.111,6379.0,,593.646,
Kepler-51 b,Kepler-51,45.15530074,6.657,,,10.7,0.82,5674.0,,783.831,
Kepler-973 b,Kepler-973,49.6077331,2.159,,,7.9,0.869,5181.0,,328.52,
EPIC 211945201 b,EPIC 211945201,19.492132,6.0,,,,1.48,,,181.69,
HIP 65 A b,HIP 65 A,0.9809734,22.75427,3.213,1411.0,661.0,0.7242,4590.0,-0.67799,61.7856,0.48
Kepler-1376 b,Kepler-1376,5.30873978,1.08,,1042.0,279.21,0.955,5914.0,,868.056,
TOI-6054.02,TOI-6054,12.5759947632,2.79817968,,1028.01,263.9394,1.61211,6111.67,,79.407,
Kepler-275 b,Kepler-275,10.300682,2.34,,,,1.383,6165.0,,2034.25,
Kepler-444 f,Kepler-444,9.74048418,0.51,,620.0,34.84,0.593,5032.0,,36.4396,
Kepler-295 b,Kepler-295,12.6450451,1.4,,,,0.86,5411.0,,1699.19,
Kepler-239 b,Kepler-239,11.76305946,2.45,,,,0.77,5007.0,,648.109,
Kepler-381 d,Kepler-381,8.256215,1.09,,1141.0,,1.352,6638.0,,267.323,
TOI-1346 b,TOI-1346,1.76225372591,2.52358179,,1186.61,468.5415,0.784109,4965.0,,115.45,
Kepler-267 d,Kepler-267,28.46462622,2.01,,303.0,2.01,0.47,3807.0,,264.993,
Kepler-960 b,Kepler-960,3.12686223,5.46,,1392.0,886.72,1.749,4854.0,,284.916,
Kepler-169 f,Kepler-169,87.090195,2.58,,,,0.763,4997.0,,406.529,
Kepler-1412 b,Kepler-1412,3.6146051,0.61,,1206.0,500.17,0.899,6042.0,,755.678,
Kepler-102 b,Kepler-102,5.28695437,0.49,,,,0.74,4884.0,,107.796,
Kepler-1257 b,Kepler-1257,2.668313762,1.55,,1252.0,581.38,0.899,5806.0,,1105.95,
TOI-1451 b,TOI-1451,16.537944,2.61143902,0.04782455,723.33,,1.0162,5801.0,0.02449,91.9362,4.67
Kepler-799 b,Kepler-799,133.4605235,7.54,,369.0,4.4,1.012,6063.0,,,
Kepler-32 c,Kepler-32,8.7522,2.0,,470.0,,0.53,3793.0,,323.847,
K2-229 b,K2-229,0.58424,1.2547759,,,,0.801878,5231.0,,102.564,
TOI-1899 b,TOI-1899,29.02,12.89035,0.66,362.0,2.9,0.607,3841.0,,128.438,0.54
Kepler-1374 b,Kepler-1374,10.652797,1.7,,595.0,,0.57,5392.0,,1078.46,
Kepler-1350 c,Kepler-1350,1.766789509,1.4,,730.0,66.95,0.444,3698.0,,340.691,
Kepler-546 b,Kepler-546,4.1470198,6.6,,1238.0,,1.16,5781.0,,1019.65,
Kepler-999 b,Kepler-999,5.991857017,2.34,,,,1.65,6237.0,,545.063,
Kepler-1734 b,Kepler-1734,6.796859,2.31,,976.0,,0.95,6050.0,,1482.83,
K2-32 c,K2-32,20.661623,3.11517954,,,,0.839164,5415.0,,157.682,
Kepler-292 c,Kepler-292,3.715345,1.88,,1075.0,,0.88,5447.0,,1056.48,
Kepler-1245 b,Kepler-1245,4.354075,1.8,,1046.0,,0.93,5447.0,,805.936,
TOI-411 b,HD 22946,4.04041303555,1.54737474,,1255.71,587.5862,1.11672,6101.0,,62.7792,
Kepler-1936 b,Kepler-1936,126.557522,4.5,,524.0,17.85,1.854,6501.0,,871.096,
Kepler-171 b,Kepler-171,4.166962173,2.44,,1024.0,259.58,0.831,5641.0,,863.855,
Kepler-1382 b,Kepler-1382,16.3583055,1.08,,740.0,70.99,1.007,6046.0,,738.261,
K2-57 b,K2-57,9.0074,2.18,,,,0.599,,,264.213,
Kepler-321 b,Kepler-321,4.915387067,1.78,,1116.0,366.09,1.067,5881.0,,384.542,
Kepler-373 c,Kepler-373,16.726052,1.15,,665.0,46.3,0.842,5783.0,,1090.45,
Kepler-324 e,Kepler-324,13.97925,1.8,,618.0,,0.75,5319.0,,501.574,
Kepler-305 d,Kepler-305,16.73865956,2.68,,590.0,28.61,0.803,5106.0,,868.477,
Kepler-529 d,Kepler-529,35.86619949,2.79502603,,,,1.189,6078.0,,799.008,
Kepler-740 b,Kepler-740,3.584101216,4.87,,1131.0,386.66,0.922,5739.0,,1442.02,
Kepler-292 f,Kepler-292,20.8342947,2.94,,613.0,33.29,0.915,5513.0,,1056.48,
Kepler-267 b,Kepler-267,3.354,2.11,0.119,,,0.552,,,264.993,
K2-24 c,K2-24,42.3633,7.82,0.08180474,,,1.21,5743.0,,170.562,0.3
Kepler-1279 b,Kepler-1279,23.4774101,1.75,,,,1.33,6221.0,,1494.22,
Kepler-446 b,Kepler-446,1.565409,1.5,,,,0.24,3359.0,,96.339,
Kepler-595 b,Kepler-595,25.302868,3.8,,489.0,,0.72,5171.0,,643.009,
Kepler-906 b,Kepler-906,41.69831,2.4,,577.0,,1.06,6292.0,,757.791,
Kepler-374 b,Kepler-374,1.897828815,1.73,,1761.0,2278.95,1.515,5640.0,,1265.61,
Kepler-355 b,Kepler-355,11.0317307,1.5,,878.0,140.18,1.038,6184.0,,1432.17,
L 98-59 c,L 98-59,3.6904,1.35,0.00761413,517.0,,0.314,3412.0,,10.6194,5.4
Kepler-28 c,Kepler-28,8.9857,2.02,,604.0,,0.638,4663.0,,438.359,
CoRoT-12 b,CoRoT-12,2.828042,16.14,0.917,1442.0,,1.116,5675.0,,1126.37,0.411
Kepler-84 c,Kepler-84,12.88296485,3.14,,,,1.11,6039.0,,1023.9,
Kepler-884 b,Kepler-884,5.69919592,1.16,,964.0,204.18,0.932,5646.0,,476.733,
Kepler-1718 b,Kepler-1718,135.1898,2.52,,344.0,,0.909,5714.0,,375.522,
TOI-251 b,TOI-251,4.93772273227,2.82698973,,1041.19,277.7462,0.955756,5862.0,,99.523,
Kepler-895 b,Kepler-895,2.806242,1.46,,789.0,,0.566,4320.0,,540.134,
Kepler-522 b,Kepler-522,38.58422849,6.91,,,,1.98,6392.0,,639.239,
K2-195 c,K2-195,28.4707,2.68,,,,0.948,,,315.014,
TOI-1723 b,TOI-1723,13.7270395,2.95921,,802.0,68.9542,1.09,5777.0,,100.727,
Kepler-62 f,Kepler-62,267.283301,1.54,,,,,,,300.874,
KIC 9663113 b,KIC 9663113,572.383277,3.78,,232.0,0.69,1.006,6065.0,,1594.74,
K2-84 c,K2-84,27.8522,2.16,,,,0.836,,,284.876,
Kepler-1854 b,Kepler-1854,39.83101,3.3,,418.0,,0.713,5178.0,,423.348,
Kepler-139 b,Kepler-139,15.771019,2.63,,758.0,,1.18,5622.0,,391.038,
Kepler-1530 b,Kepler-1530,2.5904434,1.475,,,376.0,0.797,5371.0,,489.876,
Kepler-472 b,Kepler-472,4.1762599,3.03,,890.0,,0.795,4955.0,,306.602,
TOI-2202 b,TOI-2202,11.9101,11.32107051,0.978,,,0.794,5144.0,-0.40121,235.933,
TOI-2583 A b,TOI-2583 A,4.52074,13.7321,,1440.0,713.859,1.49,6050.0,,566.189,
Kepler-750 c,Kepler-750,4.08899022,1.58,,1344.0,770.59,1.168,6495.0,,1296.02,
Kepler-247 c,Kepler-247,9.439460801,4.34,,690.0,53.44,0.791,5094.0,,663.711,
Kepler-1600 b,Kepler-1600,386.370512,2.96,,209.0,0.45,0.834,5119.0,,1030.81,
Kepler-1142 b,Kepler-1142,18.3027235,2.72,,902.0,156.71,1.839,5528.0,,1273.51,
Kepler-975 b,Kepler-975,1.970342457,1.581,,,350.7,0.786,4801.0,,426.088,
Kepler-1316 b,Kepler-1316,87.9732136,2.7,,384.0,5.14,0.848,5821.0,,800.871,
Kepler-1095 b,Kepler-1095,4.27103091,1.24,,1108.0,356.54,0.906,5984.0,,792.522,
Kepler-1245 c,Kepler-1245,2.936584681,1.64,,1189.0,473.18,0.909,5455.0,,805.936,
Kepler-122 f,Kepler-122,56.2587885,1.81,,487.0,13.27,0.949,6103.0,,1027.45,
Kepler-12 b,Kepler-12,4.4379637,18.999255,0.433,,,1.483,5950.0,,881.386,0.11
LHS 3844 b,LHS 3844,0.46292913,1.303,,805.0,70.1,0.189,3036.0,-2.56543,14.8846,
Kepler-293 c,Kepler-293,54.1561078,3.365,,,7.5,0.833,5483.0,,974.633,
K2-273 b,K2-273,11.716332,4.42,,672.0,,0.84,5200.0,,308.105,
Kepler-235 e,Kepler-235,46.1842039,1.83,,273.0,1.32,0.493,3950.0,,428.018,
Kepler-277 b,Kepler-277,17.32417247,3.027,,,181.3,1.731,6065.0,,976.643,
Kepler-1146 b,Kepler-1146,2.352265797,1.23,,,,0.7,4692.0,,703.038,
K2-345 b,K2-345,10.367437,2.11,,437.0,,0.52,3779.0,,162.408,
Kepler-1466 b,Kepler-1466,31.1750448,1.448,,,24.8,0.97,5552.0,,631.949,
Kepler-23 c,Kepler-23,10.74242766,3.036,,,254.1,1.491,5823.0,,835.756,
Kepler-238 e,Kepler-238,23.65368621,5.71,,625.0,36.16,0.963,5858.0,,1798.75,
Kepler-1763 b,Kepler-1763,1.480280588,0.98,,1821.0,2597.27,1.259,5897.0,,756.486,
K2-189 b,K2-189,2.588309,1.52,,1197.0,,0.87,5519.0,,242.113,
Kepler-27 c,Kepler-27,31.33,7.17,0.067,,,0.863,,,1044.36,
Kepler-83 b,Kepler-83,9.77058983,2.34,,460.0,,0.52,3893.0,,400.409,
Kepler-265 d,Kepler-265,43.1308082,2.2,,557.0,22.79,0.983,6299.0,,1280.25,
Kepler-1463 b,Kepler-1463,25.1593389,1.76,,619.0,34.7,0.935,5973.0,,1687.47,
Kepler-326 d,Kepler-326,6.766912,3.35,,1159.0,,1.8,5110.0,,487.675,
Kepler-291 b,Kepler-291,3.54653414,2.17,,1212.0,510.26,0.986,5993.0,,1786.48,
Kepler-1165 b,Kepler-1165,9.47850818,1.47,,946.0,189.14,1.076,6249.0,,1575.2,
Kepler-559 b,Kepler-559,17.587568,3.7,,683.0,,0.98,5517.0,,776.708,
Kepler-370 b,Kepler-370,4.57948235,1.35,,1040.0,276.82,0.954,5569.0,,1167.94,
Kepler-1729 b,Kepler-1729,4.220967148,2.76,,600.0,30.63,0.52,3861.0,,576.181,
Kepler-954 b,Kepler-954,16.78175788,2.25,,545.0,20.82,0.742,4925.0,,215.814,
Kepler-49 b,Kepler-49,7.203850636,2.23,,493.0,13.94,0.51,3816.0,,311.222,
Kepler-1209 b,Kepler-1209,25.3690868,1.67,,755.0,76.9,1.406,6126.0,,505.531,
Kepler-319 d,Kepler-319,31.781925,2.29,,,,0.903,5526.0,,503.436,
Kepler-601 b,Kepler-601,5.378868441,1.77,,836.0,115.57,0.725,5207.0,,414.825,
KOI-1783.01,KOI-1783,134.4786723,7.5,,372.0,4.55,0.957,6215.0,,865.73,
WTS-2 b,WTS-2,1.0187068,15.277867,1.12,2000.0,,0.752,5000.0,,,0.54
Kepler-80 c,Kepler-80,9.521644639,2.16,,495.0,14.2,0.567,4041.0,,369.451,
Kepler-194 b,Kepler-194,2.092282,1.46,,1510.0,,1.04,6107.0,,1097.97,
Kepler-1365 c,Kepler-1365,4.77468005,0.8,,,,1.05,5770.0,,840.128,
Kepler-1022 b,Kepler-1022,10.99469878,2.02,,512.0,16.24,0.586,4302.0,,420.042,
Kepler-1093 c,Kepler-1093,89.722292,2.399,,,18.1,1.461,6314.0,,1072.88,
Kepler-1395 b,Kepler-1395,3.78470649,1.18,,1747.0,2201.61,1.95,6461.0,,492.894,
Kepler-1931 b,Kepler-1931,38.5760994,2.65323514,,,,1.221,6167.0,,620.091,
Kepler-1486 b,Kepler-1486,54.6495759,2.26,,517.0,16.9,1.066,6112.0,,1769.14,
Kepler-330 c,Kepler-330,15.95545002,2.23,,,,0.76,5033.0,,717.527,
LP 791-18 c,LP 791-18,4.98991757887,2.9858436,,312.06,2.2411,0.17143,2940.0,,26.4927,
Kepler-51 b,Kepler-51,45.155503,7.3,,514.0,,0.94,6018.0,,783.831,
KOI-13 b,KOI-13,1.763587569,25.8,,3560.0,37958.27,3.031,9107.0,,519.096,
Kepler-1115 b,Kepler-1115,23.5540725,2.17,,1381.0,859.63,2.286,9565.0,,983.245,
Kepler-265 b,Kepler-265,6.84619299,1.66,,1030.0,265.57,0.983,6299.0,,1280.25,
Kepler-262 b,Kepler-262,13.06076688,1.49,,734.0,68.66,0.876,5830.0,,613.129,
Kepler-790 b,Kepler-790,13.73469807,2.14,,634.0,38.11,0.772,5196.0,,703.168,
Kepler-440 b,Kepler-440,101.11,1.92,,,,,,,301.03,
Kepler-15 b,Kepler-15,4.942782,10.76,0.66,,,0.992,5515.0,-0.087,739.412,0.93
Kepler-269 c,Kepler-269,8.1281,1.7,,824.0,,0.89,5602.0,,2257.32,
Kepler-1351 b,Kepler-1351,0.916140768,0.6,,1210.0,507.47,0.614,4374.0,,202.782,
K2-116 b,K2-116,4.6556782,0.814,,,,0.66,4264.0,,49.3855,
Kepler-1175 b,Kepler-1175,37.94523,3.5,,520.0,,0.89,5866.0,,1121.89,
Kepler-1814 c,Kepler-1814,0.626281766,1.76,,1711.0,2011.27,0.823,4922.0,,726.346,
K2-170 b,K2-170,7.5767206,1.5,,,,0.98,5749.0,,392.872,
Kepler-944 b,Kepler-944,43.3167737,2.46,,463.0,10.85,0.785,5668.0,,1349.43,
Kepler-126 d,Kepler-126,100.2834,2.89,,461.0,,1.26,6164.0,,237.401,
Kepler-270 c,Kepler-270,25.262887,1.77,,,,1.461,6067.0,,948.781,
Kepler-112 c,Kepler-112,28.5742649,2.8,,608.0,32.23,0.957,5763.0,,513.206,
L 98-59 c,L 98-59,3.6906758578,1.36751,,479.0,8.774,0.31,3469.0,,10.6194,
Kepler-1692 b,Kepler-1692,5.95960845,1.0,,898.0,153.48,0.9,5452.0,,591.019,
WASP-88 b,WASP-88,4.95496310899,18.45046895,,1584.47,1489.5543,1.99207,6282.4,,523.756,
TOI-122 b,TOI-122,5.07803253492,2.63477634,,431.25,8.1743,0.334125,3318.0,,62.118,
Kepler-1121 b,Kepler-1121,13.15141081,1.91,,,,1.59,6231.0,,482.047,
Kepler-1815 b,Kepler-1815,12.191471,2.5,,751.0,,0.94,5480.0,,1006.63,
Kepler-58 b,Kepler-58,10.21866016,3.1,,920.0,169.13,1.083,6100.0,,969.252,
Kepler-314 c,Kepler-314,5.96040108,2.75,,,,0.87,5421.0,,268.881,
Kepler-1641 b,Kepler-1641,19.672266,3.11,,,,1.19,6152.0,,860.37,
Kepler-1702 b,Kepler-1702,18.5010197,1.56,,557.0,22.81,0.744,5243.0,,857.14,
Kepler-802 b,Kepler-802,40.0587473,3.46,,490.0,13.66,0.872,5674.0,,780.585,
K2-131 b,K2-131,0.3693038,1.69,0.02485618,2223.0,4070.0,0.7595,5120.0,,152.509,8.8
Kepler-658 b,Kepler-658,1.2870749,1.48,,975.0,,0.538,4153.0,,388.384,
Kepler-404 b,Kepler-404,11.8288843,1.062,,,46.0,0.771,5326.0,,812.524,
Kepler-444 e,Kepler-444,7.74347614,0.42,,669.0,47.32,0.593,5032.0,,36.4396,
Kepler-913 c,Kepler-913,5.93919041,3.7,,1357.0,801.92,1.797,6068.0,,991.618,
CoRoT-21 b,CoRoT-21,2.72474,14.5717,2.22,,,1.95,6200.0,,,1.24
WASP-91 b,WASP-91,2.79858018417,11.95149929,,1089.15,332.5562,0.906655,4920.0,,149.942,
Kepler-1704 b,Kepler-1704,988.8811177,10.81,,223.0,0.58,1.549,5755.0,,835.455,
Kepler-1625 b,Kepler-1625,287.378949,6.06,,,,0.94,5677.0,,2310.11,
Kepler-230 b,Kepler-230,32.62882975,3791.05,,506.0,15.48,0.796,5588.0,,740.754,
Kepler-151 c,Kepler-151,24.67464211,2.09,,,,0.84,5355.0,,649.919,
Kepler-312 b,Kepler-312,1.772451066,1.02,,1685.0,1904.34,1.149,6243.0,,797.72,
K2-121 b,K2-121,5.185743,7.7,,,,0.71,,,169.398,
Kepler-32 b,Kepler-32,5.9012,2.2,,530.0,,0.53,3793.0,,323.847,
Kepler-677 b,Kepler-677,6.575315881,5.31,,1015.0,251.38,0.989,5992.0,,1954.08,
K2-335 b,K2-335,12.283211,2.21,,949.0,,1.33,6222.0,,557.993,
WASP-25 b,WASP-25,3.764825,13.67498,0.58,,,0.92,5750.0,,211.416,
Kepler-117 c,Kepler-117,50.790391,12.341,1.84,704.0,,1.606,6150.0,,1455.57,1.74
Kepler-76 b,Kepler-76,1.544928883,13.67,,2013.0,3878.74,1.444,6308.0,,822.96,
Kepler-633 b,Kepler-633,8.50340718,2.18,,1201.0,492.55,1.549,6282.0,,680.54,
WASP-79 b,WASP-79,3.6623866,20.40038,0.843,,,1.69,6600.0,,246.69,0.178
Kepler-1685 b,Kepler-1685,20.4905,2.57673985,,,,0.835451,5484.0,-0.24507,1141.89,
Kepler-1990 c,Kepler-1990,4.06844201,1.1,,1252.0,580.55,1.231,5731.0,,392.739,
Kepler-440 b,Kepler-440,101.1114976,1.47,,201.0,0.39,0.477,3813.0,,301.03,
Kepler-1436 b,Kepler-1436,9.70542,1.46,,962.0,,1.13,6227.0,,2530.62,
Kepler-501 b,Kepler-501,5.640677572,4.11,,1085.0,327.41,0.989,6217.0,,1125.24,
Kepler-272 d,Kepler-272,10.93725572,2.41,,777.0,86.28,1.004,5334.0,,889.608,
Kepler-464 b,Kepler-464,7.256962446,3.53,,1163.0,432.1,1.549,5858.0,,667.604,
Kepler-57 c,Kepler-57,11.609,1.68,0.023,,,0.791,,,644.14,
Kepler-858 b,Kepler-858,76.13602028,5.034,,,6.3,0.935,5511.0,,298.532,
Kepler-43 b,Kepler-43,3.024092548,12.1,,1475.0,1120.06,1.345,6022.0,,1005.84,
Kepler-1311 d,Kepler-1311,197.5107678,9.849,,,6.0,1.687,5754.0,,866.331,
Kepler-281 b,Kepler-281,14.64627064,2.41,,,,0.93,5623.0,,1745.45,
Kepler-1485 b,Kepler-1485,19.9157725,1.631,,,82.7,1.25,5980.0,,615.66,
Kepler-228 d,Kepler-228,11.094286,4.04,,,,1.014,6043.0,,1644.61,
Kepler-1359 b,Kepler-1359,59.49786,4.1,,391.0,,1.04,4652.0,,614.859,
Kepler-431 c,Kepler-431,8.70337044,0.92,,1231.0,543.2,1.682,6293.0,,486.546,
TOI-3464 b,TOI-3464,3.6515568,13.7646283,1.25,1693.0,1370.0,1.56,6370.0,0.55871,597.774,0.83
K2-19 c,K2-19,11.90691,4.31,,797.0,,0.81,5519.0,,289.827,
Kepler-151 b,Kepler-151,15.228958,3.06,,,,0.83,5460.0,,649.919,
Kepler-1533 b,Kepler-1533,308.5471,2.36,,298.0,1.86,1.035,6363.0,,966.801,
Kepler-267 d,Kepler-267,28.46464804,1.87,,301.0,1.95,0.46,3789.0,,264.993,
Kepler-853 b,Kepler-853,7.168879,1.28,,1077.0,,1.22,6182.0,,568.676,
Kepler-18 d,Kepler-18,14.85888,6.98,0.052,,,1.108,5345.0,-0.031,433.047,0.27
Kepler-1424 b,Kepler-1424,29.6091744,0.9,,542.0,20.36,0.785,5850.0,,661.421,
Kepler-100 b,Kepler-100,6.88706037,1.344,,,459.2,1.526,5854.0,,304.645,
K2-383 b,K2-383,1.866025,1.75,,,,0.878,,,203.788,
Kepler-1410 b,Kepler-1410,60.866168,1.78,,,,0.6,4092.0,,,
EPIC 201595106 b,EPIC 201595106,0.877214,1.3,,,,0.93,5820.0,,232.1,
Kepler-57 c,Kepler-57,11.609257,1.58,,652.0,,0.74,5294.0,,644.14,
Kepler-1687 b,Kepler-1687,5.77955922,1.34,,578.0,26.34,0.553,4024.0,,417.014,
WASP-13 b,WASP-13,4.353011,15.569,0.477,,,1.559,,,227.537,0.222
Kepler-285 c,Kepler-285,6.18677,1.13,,825.0,,0.76,5381.0,,824.31,
Kepler-436 c,Kepler-436,16.79713874,1.7,,423.0,7.58,0.511,4299.0,,588.867,
Kepler-1794 b,Kepler-1794,9.76293284,1.94,,703.0,57.59,0.816,5052.0,,561.229,
Kepler-1763 b,Kepler-1763,1.480283464,0.97,,1822.0,2597.27,1.259,5897.0,,756.486,
Kepler-896 c,Kepler-896,29.54210091,3.10500002,,,,0.803,5510.0,,2334.93,
Kepler-291 b,Kepler-291,3.54653414,2.17,,1212.0,510.26,0.986,5993.0,,1786.48,
Kepler-919 b,Kepler-919,11.04603384,2.25,,,,1.21,6113.0,,1119.87,
Kepler-347 b,Kepler-347,12.7983044,1.99,,811.0,102.02,0.998,6092.0,,1298.88,
Kepler-62 f,Kepler-62,267.283301,1.42,,205.0,0.41,0.653,4797.0,,300.874,
Kepler-702 b,Kepler-702,10.526294063,9.17,,,,0.86,5419.0,,992.071,
Kepler-235 e,Kepler-235,46.18428829,1.9,,,1.16,0.635754,4074.0,-0.99864,428.018,
HD 136352 b,HD 136352,11.57783620835,1.54221286,,806.33,99.9013,1.02607,5739.0,,14.682,
Kepler-1588 b,Kepler-1588,7.84931739,1.108,,,330.6,1.407,5659.0,,924.141,
Kepler-1307 b,Kepler-1307,18.0161227,2.39,,768.0,82.38,1.065,6245.0,,1014.62,
Kepler-914 b,Kepler-914,4.40966548,1.38,,,,1.15,5877.0,,753.723,
Kepler-1564 b,Kepler-1564,18.0541469,1.51,,635.0,38.57,0.909,5505.0,,908.805,
Kepler-54 d,Kepler-54,20.995,1.14,,,1.47,0.33,3579.0,,271.701,
TOI-561 d,TOI-561,25.71268,2.615,0.04194087,600.0,21.2,0.843,,,85.799,4.1
Kepler-366 b,Kepler-366,3.28192091,1.48,,1318.0,714.01,1.033,6210.0,,1856.28,
K2-219 d,K2-219,11.137278,2.57634456,,,,1.189232,5753.0,,325.4,
Kepler-290 c,Kepler-290,36.7704731,3.44,,438.0,8.71,0.759,5153.0,,694.627,
WASP-84 c,WASP-84,1.4468849,1.95,0.048,1329.0,,0.768,,,100.588,11.2
Kepler-289 c,Kepler-289,125.866438,13.04,,,,1.162,5930.0,,704.438,
Kepler-1047 c,Kepler-1047,3.18897601,0.99,,,,1.13,5754.0,,817.647,
Kepler-20 e,Kepler-20,6.098493,0.868,0.01,1040.0,,0.944,5466.0,-0.069,282.563,
K2-200 b,K2-200,2.85009,1.38,,,,0.8,,,184.131,
TOI-1246 d,TOI-1246,18.65488288102,4.38698775,,585.81,27.8321,0.876154,5141.0,,169.422,
Kepler-335 b,Kepler-335,6.56225728,3.11,,,,1.68,5932.0,,1278.97,
Kepler-56 c,Kepler-56,21.4054901,11.43,,,,4.19,4911.0,,912.994,
Kepler-1086 c,Kepler-1086,161.515617,2.88,,211.0,0.47,0.641,4243.0,,466.084,
Kepler-300 b,Kepler-300,10.44636649,2.43,,,,1.1,5965.0,,1098.45,
Kepler-1293 b,Kepler-1293,5.57654782,0.92,,1183.0,462.81,1.238,6187.0,,1028.16,
Kepler-1932 b,Kepler-1932,0.524176094,1.42,,2045.0,4133.52,0.93,5396.0,,713.733,
Kepler-139 d,Kepler-139,7.305699922,1.95,,992.0,229.13,1.2,5616.0,,391.038,
Kepler-183 c,Kepler-183,11.637071,2.27,,,,0.958,5888.0,,1050.64,
Kepler-1478 b,Kepler-1478,26.0841212,1.35,,598.0,30.24,0.835,6083.0,,1845.58,
Kepler-40 b,Kepler-40,6.87337680743,14.61618085,,1507.33,1219.9813,2.36468,6014.0,,2305.01,
K2-216 b,K2-216,2.174782,1.63,,992.0,,0.69,4658.0,,115.461,
Kepler-1756 b,Kepler-1756,2.355746434,1.34,,1083.0,325.79,0.767,4962.0,,,
Kepler-619 c,Kepler-619,1.208465026,1.5,,1768.0,2307.65,0.964,6122.0,,900.678,
Kepler-143 b,Kepler-143,16.00749754,1.82,,767.0,81.79,1.037,6010.0,,809.467,
Kepler-1351 b,Kepler-1351,0.916139,0.59,,1174.0,,0.583,4410.0,,202.782,
Kepler-58 c,Kepler-58,15.573637,2.94,,799.0,96.38,1.083,6100.0,,969.252,
Kepler-119 b,Kepler-119,2.422084448,3.6,,1214.0,513.44,0.832,5588.0,,701.996,
Kepler-24 e,Kepler-24,18.9985279,43.17,,792.0,93.03,1.24,5896.0,,1156.81,
Kepler-920 b,Kepler-920,6.53192704,2.42,,,,0.85,5403.0,,1001.68,
Kepler-289 c,Kepler-289,125.865,11.54527,0.42,,,1.46,6326.0,,704.438,
Kepler-985 b,Kepler-985,116.331901,2.98,,,,0.85,5434.0,,679.361,
ZTF J1230-2655 b,ZTF J1230-2655,0.23597766,13.78704626,22.1,,,0.0123,10000.0,,186.69,
Kepler-1272 b,Kepler-1272,51.1309704,2.37,,,,1.09,5926.0,,1206.37,
TOI-1846 b,TOI-1846,3.93067462793,1.79020058,,523.44,17.7419,0.411452,3512.0,,47.2496,
Kepler-553 c,Kepler-553,328.2399546,11.2,,,,0.85,5266.0,,728.525,
Kepler-1580 b,Kepler-1580,56.6449279,1.19,,550.0,21.65,1.201,6102.0,,1002.02,
Kepler-1714 b,Kepler-1714,10.27530003,3.26437302,,,,2.086,6150.0,,409.46,
Kepler-200 b,Kepler-200,8.59479202,2.19,,,,0.95,5773.0,,665.912,
Kepler-358 c,Kepler-358,83.488369,2.85,,,,0.954,5908.0,,1101.1,
K2-368 b,K2-368,5.02629,1.322,,,,0.577,,,206.608,
Kepler-559 b,Kepler-559,17.58752333,3.61,,,,0.95,5630.0,,776.708,
Kepler-140 c,Kepler-140,91.3515867,1.694,,,10.0,1.172,6024.0,,583.859,
Kepler-1246 b,Kepler-1246,11.32269749,1.51,,554.0,22.24,0.642,4563.0,,436.505,
Kepler-358 b,Kepler-358,34.06075,2.8,,539.0,,0.89,5870.0,,1101.1,
Kepler-1750 b,Kepler-1750,205.9120026,6.00434637,,,,0.969,5644.0,,1497.33,
Kepler-1977 b,Kepler-1977,4.536993,1.44,,764.0,,0.633,4771.0,,592.711,
WASP-77 A b,WASP-77 A,1.36002854,13.78704626,1.667,1715.0,1440.0,0.91,5617.0,-0.12901,105.166,1.115
Kepler-1651 b,Kepler-1651,9.8851553,1.76,,353.0,3.68,0.316,3545.0,,66.4074,
TOI-2207 b,TOI-2207,8.001968,11.1529358,0.64,1259.0,406.0,1.564,6101.0,0.4843,373.345,0.8
Kepler-923 b,Kepler-923,6.93366476,1.462,,,331.1,1.287,5987.0,,1000.28,
Kepler-528 b,Kepler-528,19.78297415,2.08,,,,1.06,5807.0,,784.23,
K2-30 b,K2-30,4.098506,12.3,,,299.0,0.92,5567.0,,333.042,
Kepler-1497 b,Kepler-1497,8.74199772,1.69,,898.0,153.72,0.998,5878.0,,,
Kepler-1465 b,Kepler-1465,31.8277111,1.74,,414.0,6.94,0.686,4702.0,,359.497,
Kepler-528 b,Kepler-528,19.7830259,2.1,,708.0,59.39,1.099,5747.0,,784.23,
Kepler-849 b,Kepler-849,394.6244904,8.26,,337.0,3.05,1.886,5858.0,,822.134,
Kepler-700 b,Kepler-700,80.87159,5.4,,391.0,,0.86,5738.0,,1491.76,
Kepler-341 d,Kepler-341,27.6665971,1.96,,627.0,36.57,1.003,6008.0,,1047.03,
Kepler-1745 b,Kepler-1745,3.01618319,1.67,,1305.0,684.98,0.999,6043.0,,996.105,
Kepler-350 c,Kepler-350,17.849,3.1,0.019,,,1.25,,,956.859,
