time,flux,flux_err
1345.4621069398443,6566.5093,11.1789665
1345.4634958271877,6567.407,11.17481
1345.4648847145315,6564.0884,11.178688
1345.4662736018754,6591.4297,11.198081
1345.467662489219,6589.8857,11.197119
1345.4690513765615,6573.807,11.186343
1345.4704402639054,6580.8535,11.191039
1345.4718291512495,6543.7383,11.176417
1345.4732180385631,6563.1025,11.17588
1345.4746069259063,6586.6147,11.187523
1345.4759958132504,6584.48,11.18616
1345.4773847005938,6570.305,11.18559
1345.4787735879372,6579.125,11.193097
1345.4801624752513,6570.716,11.184275
1345.4815513625945,6574.591,11.186538
1345.4829402499386,6585.4297,11.196033
1345.484329137282,6571.4614,11.19901
1345.4857180245954,6581.0967,11.194314
1345.4871069119395,6584.388,11.191149
1345.4884957992836,6553.097,11.183643
1345.4898846865976,6573.701,11.197429
1345.491273573941,6578.694,11.197351
1345.4926624612845,6591.1045,11.2087
1345.4940513485994,6578.2515,11.195232
1345.4954402359426,6596.53,11.207711
1345.4968291232854,6569.361,11.194028
1345.4982180106003,6544.4233,11.1918
1345.4996068979442,6570.5913,11.191532
1345.5009957852576,6558.1924,11.197617
1345.5023846726012,6563.729,11.200067
1345.503773559945,6587.8833,11.209432
1345.5051624472594,6587.7124,11.2155285
1345.5065513346026,6567.114,11.201444
1345.5079402219167,6573.43,11.206813
1345.5093291092603,6553.387,11.197756
1345.510717996575,6581.2046,11.206083
1345.5121068839185,6589.2026,11.209185
1345.5134957712326,6579.217,11.215878
1345.5148846585766,6592.3936,11.22455
1345.5162735458907,6572.7456,11.210736
1345.517662433205,6566.2217,11.208848
1345.5190513205484,6588.6714,11.224888
1345.5204402078625,6580.401,11.212685
1345.5218290952066,6562.741,11.200351
1345.5232179825207,6566.759,11.215066
1345.5246068698343,6564.0947,11.211925
1345.5259957571784,6577.588,11.227953
1345.5273846444934,6572.428,11.216699
1345.5287735318068,6575.1616,11.227066
1345.5301624191502,6571.1387,11.217599
1345.5315513064652,6585.272,11.218526
1345.5329401937793,6575.2915,11.216428
1345.5343290810933,6578.846,11.222473
1345.535717968437,6556.755,11.2232
1345.5371068557517,6563.2544,11.2205105
1345.538495743066,6612.1533,11.245439
1345.5398846303797,6587.043,11.2330675
1345.5412735177235,6541.874,11.219066
1345.5426624050383,6581.7334,11.234792
1345.544051292352,6585.139,11.234062
1345.545440179666,6580.8154,11.233238
1345.546829066981,6577.528,11.227581
1345.5482179542953,6564.219,11.231373
1345.5496068416096,6583.135,11.238262
1345.5509957289528,6555.213,11.220418
1345.552384616267,6580.235,11.235181
1345.5537735035819,6564.4224,11.226901
1345.5551623908964,6567.718,11.230827
1345.5565512782098,6573.732,11.231803
1345.5579401655245,6576.221,11.244077
1345.5593290528395,6558.4023,11.2304535
1345.5607179401536,6564.779,11.230867
1345.5621068274681,6566.693,11.231273
1345.5634957147822,6556.467,11.230481
1345.5648846020972,6551.995,11.228832
1345.5662734894113,6567.661,11.237983
1345.567662376725,6580.7095,11.2481575
1345.56905126404,6569.3403,11.243406
1345.570440151355,6562.7876,11.238795
1345.5718290386392,6562.254,11.249782
1345.5732179259535,6548.557,11.233185
1345.5746068132682,6581.4375,11.244425
1345.5759957005826,6587.727,11.249294
1345.5773845878966,6554.975,11.233887
1345.578773475211,6558.3647,11.251646
1345.5801623625252,6597.217,11.254597
1345.5815512498111,6566.0806,11.242334
1345.5829401371252,6577.0117,11.248273
1345.5843290244393,6553.986,11.250412
1345.5857179117543,6577.772,11.252819
1345.5871067990684,6571.7153,11.249871
1345.5884956863538,6589.5024,11.256428
1345.5898845736679,6559.3643,11.244564
1345.591273460982,6576.087,11.252109
1345.5926623482678,6566.5044,11.247493
1345.5940512355821,6580.033,11.257154
1345.5954401228955,6581.131,11.252742
1345.5968290101814,6572.5977,11.257217
1345.5982178974964,6571.591,11.2580385
1345.59960678481,6574.81,11.263949
1345.600995672095,6571.3037,11.264101
1345.60238455941,6591.0083,11.26447
1345.603773446724,6580.0664,11.265891
1345.6051623340093,6579.6245,11.270894
1345.6065512213236,6553.0854,11.257721
1345.6079401086095,6570.1475,11.258136
1345.6093289959242,6563.018,11.256917
1345.6107178832085,6577.653,11.262402
1345.6121067705228,6586.2056,11.266294
1345.6134956578085,6584.8315,11.263913
1345.614884545123,6567.04,11.261913
1345.616273432408,6565.1357,11.255408
1345.617662319722,6568.0728,11.261305
1345.6190512070075,6575.1006,11.2635565
1345.6204400943222,6564.8623,11.257935
1345.6218289816075,6552.814,11.249717
1345.6232178688917,6588.058,11.260262
1345.6246067562065,6564.106,11.260819
1345.6259956434924,6575.813,11.2682085
1345.627384530806,6572.0283,11.258117
1345.628773418091,6571.389,11.265387
1345.6301623053769,6567.3447,11.258375
1345.6315511926919,6569.102,11.267407
1345.6329400799768,6574.826,11.268265
1345.6343289672614,6592.467,11.268459
1345.6357178545472,6559.892,11.257715
1345.6371067418622,6580.3203,11.276048
1345.6384956291465,6556.741,11.264979
1345.6398845164317,6581.98,11.2667465
1345.6412734037176,6556.587,11.257124
1345.6426622910317,6582.2866,11.272518
1345.6440511783167,6596.6055,11.270693
1345.645440065602,6551.97,11.250737
1345.646828952887,6558.048,11.255643
1345.648217840173,6566.3003,11.254536
1345.649606727487,6600.33,11.271823
1345.6509956147715,6560.0806,11.252224
1345.6523845020574,6574.6963,11.262479
1345.653773389343,6573.9688,11.264735
1345.6551622766283,6574.0747,11.260593
1345.6565511639133,6575.8384,11.2672615
1345.6579400511985,6578.803,11.268319
1345.6593289384841,6576.6724,11.264349
1345.6607178257696,6553.408,11.251799
1345.6621067130538,6568.3193,11.262649
1345.6634956003395,6571.6973,11.263531
1345.6648844876254,6586.0005,11.266507
